incident_number,call_type,call_type_group,call_time,Street,call_origin,mental_health,drug_related,dv_related,alcohol_related,Area,AreaName,Latitude,Longitude,WARD,DISTRICT,type_level
19BU019202,Noise,Quality of Life,9/1/19 0:02,Cedar St,Phone,0,0,0,0,B,OldNorthEnd,44.48410591,-73.2145343,3,Central,Type 1
19BU019203,Compliance Check,Court Order,9/1/19 0:11,St Paul St,Phone,0,0,0,0,D,Downtown,44.47475944,-73.21386828,3,Central,Type 1
19BU019205,Noise,Quality of Life,9/1/19 0:36,Dans Ct,Phone,0,0,0,0,C,UniversityHillSection,44.4857117,-73.20367604,1,East,Type 1
19BU019206,Assist - Agency,Assist,9/1/19 0:37,Loomis St,911,0,0,0,1,C,UniversityHillSection,44.48458334,-73.20847777,2,Central,Type 2
19BU019207,Noise,Quality of Life,9/1/19 1:03,N Willard St,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.48242871,-73.20405188,2,Central,Type 1
19BU019208,Intoxication,Quality of Life,9/1/19 1:19,Main St,Phone,0,0,0,0,D,Downtown,44.47654715,-73.21034003,3,Central,Type 1
19BU019209,Parking,Motor Vehicle,9/1/19 1:37,Church St/Main St,Phone,0,0,0,0,D,Downtown,44.47734696,-73.2132479,3,Central,Type 1
19BU019210,Noise,Quality of Life,9/1/19 2:03,North St,Phone,0,0,0,0,C,UniversityHillSection,44.48504795,-73.20459886,1,East,Type 1
19BU019211,Suspicious Event,Public Service,9/1/19 2:04,Church St/Cherry St,Phone,0,0,0,0,D,Downtown,44.4810743,-73.21269922,3,Central,Type 1
19BU019212,Intoxication,Quality of Life,9/1/19 2:14,North St,Phone,0,0,0,1,C,UniversityHillSection,44.48415029,-73.1996857,1,East,Type 1
19BU019213,Domestic Disturbance,Domestic,9/1/19 2:15,NA,911,0,0,1,0,B,OldNorthEnd,NA,NA,3,Central,Type 3
19BU019214,Noise,Quality of Life,9/1/19 2:21,Cedar St,Phone,0,0,0,0,B,OldNorthEnd,44.48689704,-73.21468135,3,Central,Type 1
19BU019215,Mental Health Issue,Public Service,9/1/19 2:24,N Winooski Ave,911,1,0,0,1,C,UniversityHillSection,44.48220032,-73.20974313,2,Central,Type 2
19BU019216,Suspicious Event,Public Service,9/1/19 2:40,James Ave,911,0,0,0,0,A,NewNorthEnd,44.51679062,-73.2470593,7,North,Type 1
19BU019217,Noise,Quality of Life,9/1/19 3:17,Pearl St,Phone,0,0,0,0,D,Downtown,44.47987457,-73.21104394,3,Central,Type 1
19BU019218,Noise,Quality of Life,9/1/19 4:02,Hungerford Terrace,Phone,0,0,0,0,C,UniversityHillSection,44.47911546,-73.20844032,8,East,Type 1
19BU019219,Vandalism,Property,9/1/19 4:07,Church St,Officer/Radio,0,0,0,0,D,Downtown,44.47520513,-73.21065894,3,Central,Type 1
19BU019220,Suspicious Event,Public Service,9/1/19 4:45,College St,911,0,0,0,0,C,UniversityHillSection,44.47708476,-73.20393405,8,East,Type 1
19BU019221,Intoxication,Quality of Life,9/1/19 5:10,Colchester Ave,Phone,0,0,0,1,C,UniversityHillSection,44.48096717,-73.19537646,1,East,Type 1
19BU019222,Foot Patrol,Public Service,9/1/19 8:12,Church Street Marketplace,Officer/Radio,0,0,0,0,D,Downtown,44.47980689,-73.21362695,3,Central,Type 1
19BU019223,Foot Patrol,Public Service,9/1/19 8:24,Church Street Markektplace,Officer/Radio,0,0,0,0,D,Downtown,44.48010158,-73.21126032,3,Central,Type 1
19BU019224,Alarm,Public Service,9/1/19 8:51,Main St,Phone,0,0,0,0,D,Downtown,44.47673766,-73.2177298,3,Central,Type 2
19BU019225,Animal Problem,Animal,9/1/19 9:09,Roosevelt Park,Phone,0,0,0,0,B,OldNorthEnd,44.48785113,-73.21330165,2,Central,Type 1
19BU019226,Drugs,Drugs,9/1/19 9:43,Chase St,Phone,0,1,0,0,C,UniversityHillSection,44.48948185,-73.18272569,1,East,Type 1
19BU019227,Alarm,Public Service,9/1/19 9:50,Elmwood Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48006121,-73.21547252,3,Central,Type 2
19BU019228,Welfare Check,Public Service,9/1/19 10:07,Starr Farm Rd,Phone,0,0,0,0,A,NewNorthEnd,44.51712209,-73.26251244,4,North,Type 2
19BU019229,Retail Theft,Property,9/1/19 10:24,Church St,Phone,0,0,0,0,D,Downtown,44.48104114,-73.21246875,3,Central,Type 2
19BU019230,Larceny - from Motor Vehicle,Property,9/1/19 10:44,N Winooski Ave,Phone,0,0,0,0,C,UniversityHillSection,44.48349684,-73.21039691,2,Central,Type 1
19BU019231,Welfare Check,Public Service,9/1/19 11:21,North Ave,Officer/Radio,1,0,0,0,B,OldNorthEnd,44.48406142,-73.22247994,3,Central,Type 2
19BU019232,Burglary,Property,9/1/19 11:25,North St,Phone,0,0,0,0,C,UniversityHillSection,44.48665067,-73.21048013,2,Central,Type 2
19BU019233,Suspicious Event,Public Service,9/1/19 11:27,Battery St,Phone,0,0,0,0,D,Downtown,44.47743434,-73.22032253,3,Central,Type 1
19BU019234,Intoxication,Quality of Life,9/1/19 11:43,Riverside Ave,911,0,1,0,0,C,UniversityHillSection,44.48989431,-73.19922425,1,East,Type 1
19BU019235,Assist - Public,Public Service,9/1/19 11:48,North Ave,Officer/Radio,0,0,0,0,B,OldNorthEnd,44.48641849,-73.22306062,3,Central,Type 1
19BU019236,Traffic,Motor Vehicle,9/1/19 11:55,Shelburne S/Clymer St,Phone,0,0,0,0,E,SouthEnd,44.45671933,-73.21024975,5,South,Type 1
19BU019237,Traffic,Motor Vehicle,9/1/19 12:09,S Union St/Howard St,Phone,0,0,0,0,E,SouthEnd,44.46713225,-73.20688022,6,South,Type 1
19BU019238,Larceny - Other,Property,9/1/19 13:01,College St,In Person,0,0,0,0,D,Downtown,44.47872993,-73.21486471,3,Central,Type 1
19BU019239,Suspicious Event,Public Service,9/1/19 13:35,College St,Phone,0,0,0,0,D,Downtown,44.47459621,-73.21991288,3,Central,Type 1
19BU019240,Foot Patrol,Public Service,9/1/19 13:47,Marketplace,Officer/Radio,0,0,0,0,D,Downtown,44.47888306,-73.21243203,3,Central,Type 1
19BU019241,Foot Patrol,Public Service,9/1/19 13:47,Marketplace,Phone,0,0,0,0,D,Downtown,44.47920835,-73.21361192,3,Central,Type 1
19BU019242,Assist - Agency,Assist,9/1/19 13:50,North Beach/Bikepath,Phone,0,0,0,0,A,NewNorthEnd,44.4926583,-73.2396264,4,North,Type 2
19BU019243,Suspicious Event,Public Service,9/1/19 13:56,North Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48353521,-73.21987489,3,Central,Type 1
19BU019244,Parking,Motor Vehicle,9/1/19 13:59,Main St/St Paul St,Phone,0,0,0,0,D,Downtown,44.4745597,-73.21583248,3,Central,Type 1
19BU019245,Crash - Injury to person(s),Motor Vehicle,9/1/19 15:06,Mansfield Ave,Phone,0,0,0,0,C,UniversityHillSection,44.48051685,-73.20075117,1,East,NA
19BU019246,Vandalism,Property,9/1/19 15:10,140 1/2 Church St,Phone,0,0,0,0,D,Downtown,44.47702836,-73.21070019,3,Central,Type 1
19BU019247,Assist - Agency,Assist,9/1/19 15:10,Beachcrest Dr,Phone,0,0,0,0,A,NewNorthEnd,44.50129081,-73.24882745,4,North,Type 2
19BU019248,Alarm,Public Service,9/1/19 15:19,Bank St,Phone,0,0,0,0,D,Downtown,44.47786606,-73.21203004,3,Central,Type 2
19BU019249,Found/Lost Property,Public Service,9/1/19 15:22,Shelburne Rd,Phone,0,0,0,0,E,SouthEnd,44.45081734,-73.21184983,5,South,Type 1
19BU019250,Suspicious Event,Public Service,9/1/19 15:25,Church St,Phone,0,0,0,0,D,Downtown,44.47329712,-73.21182422,3,Central,Type 1
19BU019251,Missing Person,Public Service,9/1/19 15:39,Institute Rd,Phone,0,0,0,0,B,OldNorthEnd,44.49389734,-73.23539916,4,North,Type 2
19BU019252,Disturbance,Quality of Life,9/1/19 16:27,N Winooski Ave,911,0,0,1,0,C,UniversityHillSection,44.48624268,-73.2099041,2,Central,Type 2
19BU019253,Found/Lost Property,Public Service,9/1/19 16:35,North Ave,Officer/Radio,0,0,0,0,B,OldNorthEnd,44.48078193,-73.22040571,3,Central,Type 1
19BU019254,Retail Theft,Property,9/1/19 16:49,Church St,Phone,0,0,0,0,D,Downtown,44.48024339,-73.21170355,3,Central,Type 2
19BU019255,Noise,Quality of Life,9/1/19 16:50,College St,Phone,0,0,0,1,C,UniversityHillSection,44.47739632,-73.20416493,8,East,Type 1
19BU019256,Assist - Agency,Assist,9/1/19 17:09,Colchester Ave,Phone,0,0,0,0,C,UniversityHillSection,44.48380048,-73.18929214,1,East,Type 2
19BU019257,911 Hangup,Other,9/1/19 17:15,Pearl St,911,0,0,0,0,B,OldNorthEnd,44.47957937,-73.21180179,2,Central,Type 2
19BU019258,Suspicious Event,Public Service,9/1/19 17:16,North Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48314597,-73.22231351,3,Central,Type 1
19BU019259,Noise,Quality of Life,9/1/19 17:43,Loomis St,Phone,0,0,0,1,C,UniversityHillSection,44.48285433,-73.20212859,1,East,Type 1
19BU019260,Noise,Quality of Life,9/1/19 17:43,S Willard St,Phone,0,0,0,0,C,UniversityHillSection,44.48040353,-73.20696917,1,East,Type 1
19BU019261,Found/Lost Property,Public Service,9/1/19 18:22,North Ave,Officer/Radio,0,0,0,0,B,OldNorthEnd,44.4803719,-73.2228098,3,Central,Type 1
19BU019262,Welfare Check,Public Service,9/1/19 18:04,S Winooski Ave / Cherry St,911,0,0,0,0,D,Downtown,44.48006569,-73.21311749,8,East,Type 2
19BU019263,Assist - Agency,Assist,9/1/19 18:45,W Allen St,Officer/Radio,0,0,0,0,NA,NA,44.49128552,-73.18685058,NA,NA,Type 2
19BU019264,Intoxication,Quality of Life,9/1/19 18:57,Pearl St/N Winooski Ave,Phone,0,0,0,1,B,OldNorthEnd,44.47933614,-73.21170204,2,Central,Type 1
19BU019265,Found/Lost Property,Public Service,9/1/19 19:14,S Winooski Ave,Phone,0,0,0,0,D,Downtown,44.48045261,-73.21105398,3,Central,Type 1
19BU019266,Foot Patrol,Public Service,9/1/19 19:23,Marketplace,Officer/Radio,0,0,0,0,D,Downtown,44.47710547,-73.21149972,3,Central,Type 1
19BU019267,Domestic Disturbance,Domestic,9/1/19 19:50,NA,911,0,1,1,0,B,OldNorthEnd,NA,NA,3,Central,Type 3
19BU019268,Suspicious Event,Public Service,9/1/19 19:55,Cherry St,Phone,0,0,0,0,D,Downtown,44.47760249,-73.21540399,3,Central,Type 1
19BU019269,Suspicious Event,Public Service,9/1/19 19:58,Main St,Phone,0,0,0,0,D,Downtown,44.47684188,-73.21229942,3,Central,Type 1
19BU019270,Disturbance,Quality of Life,9/1/19 19:59,Main St,Phone,0,0,0,1,D,Downtown,44.47527776,-73.21335056,3,Central,Type 2
19BU019271,Disorderly Conduct,Quality of Life,9/1/19 21:08,Main St,911,1,0,0,0,D,Downtown,44.47657388,-73.21101812,3,Central,Type 2
19BU019272,Trespass,Other,9/1/19 22:18,Church St,Phone,0,0,0,0,D,Downtown,44.4762445,-73.21333279,3,Central,Type 2
19BU019273,Domestic Disturbance,Domestic,9/1/19 22:36,NA,911,0,0,1,1,D,Downtown,NA,NA,3,Central,Type 3
19BU019274,Intoxication,Quality of Life,9/1/19 22:40,Main St,911,0,0,0,0,D,Downtown,44.47682777,-73.21332694,3,Central,Type 1
19BU019275,Noise,Quality of Life,9/1/19 22:56,N Willard St,Phone,0,0,0,0,C,UniversityHillSection,44.4854135,-73.2066715,1,East,Type 1
19BU019276,Animal Problem,Animal,9/1/19 23:08,Ferguson Ave / Wells St,Phone,0,0,0,0,E,SouthEnd,44.45457932,-73.20971051,5,South,Type 1
19BU019277,Welfare Check,Public Service,9/1/19 23:36,S Union St,Phone,0,0,0,0,E,SouthEnd,44.47210675,-73.20951955,6,South,Type 2
19BU019278,Traffic,Motor Vehicle,9/1/19 23:37,North St/North Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48357267,-73.22386211,3,Central,Type 1
19BU019279,Juvenile Problem,Public Service,9/1/19 23:49,NA,Phone,0,0,0,0,A,NewNorthEnd,NA,NA,4,North,Type 1
19BU019280,Suspicious Event,Public Service,9/2/19 0:17,Riverside Ave,Phone,0,0,0,0,B,OldNorthEnd,44.49072831,-73.2050473,2,Central,Type 1
19BU019281,Traffic,Motor Vehicle,9/2/19 0:19,North St/North Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48278856,-73.22419806,3,Central,Type 1
19BU019282,Assist - K9,Assist,9/2/19 0:19,E Spring St/Leclair St,Phone,0,0,0,0,NA,NA,44.49489575,-73.18322684,NA,NA,Type 1
19BU019283,Ordinance Violation - Other,Quality of Life,9/2/19 0:23,Rt 127/North Ave,Phone,0,0,0,0,A,NewNorthEnd,44.50019972,-73.23832538,4,North,Type 1
19BU019284,Intoxication,Quality of Life,9/2/19 1:02,Colchester Ave,Phone,0,0,0,1,C,UniversityHillSection,44.48149014,-73.19600971,1,East,Type 1
19BU019285,Traffic,Motor Vehicle,9/2/19 1:16,Main St/S Williams St,Officer/Radio,0,0,0,0,C,UniversityHillSection,44.4776467,-73.20218522,6,South,Type 1
19BU019286,Suspicious Event,Public Service,9/2/19 2:23,North St/Elmwood Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48646374,-73.214583,2,Central,Type 1
19BU019287,Threats/Harassment,Other,9/2/19 2:37,Main St,911,0,0,0,0,D,Downtown,44.47574005,-73.21407086,3,Central,Type 2
