days,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Burkina Faso,Cabo Verde,Cameroon,Canada,Central African Republic,Chile,China,Colombia,Congo (Brazzaville),Congo (Kinshasa),Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czechia,Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Estonia,Eswatini,Ethiopia,Europe,Finland,France,Gabon,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Guinea-Bissau,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kenya,South Korea,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Mauritania,Mexico,Moldova,Montenegro,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Tajikistan,Thailand,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,Uruguay,US,Uzbekistan,Venezuela,West Bank and Gaza,Yemen,Zambia,Zimbabwe,doubles every day,doubles every 2 days,doubles every 3 days,doubles every week,doubles every month
day 0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
day 1,123.14285714285714,111.71428571428571,125.85714285714286,104,121.71428571428571,117,113.28571428571429,119.71428571428571,112.28571428571429,117.5,150.57142857142858,108.28571428571429,151,121.42857142857143,113.42857142857143,121.28571428571429,153.57142857142858,111.71428571428571,118.57142857142857,106,114.71428571428571,119.42857142857143,112.42857142857143,136.28571428571428,NA,132.42857142857142,111.85714285714286,110.71428571428571,113.42857142857143,112,128,116.85714285714286,109.14285714285714,120,227,120.85714285714286,142.57142857142858,186.57142857142858,110.28571428571429,110.14285714285714,125.85714285714286,118.14285714285714,107.42857142857143,106,124.42857142857143,116,144,108.71428571428571,104,131.42857142857142,122.85714285714286,121.57142857142857,100,113.28571428571429,131.14285714285714,107.14285714285714,111,101.14285714285714,114.85714285714286,110.85714285714286,112.42857142857143,121.28571428571429,142.71428571428572,106.71428571428571,118,115.57142857142857,177.71428571428572,116.71428571428571,114.85714285714286,141.14285714285714,114,205,106,110.14285714285714,112.28571428571429,129.71428571428572,114.28571428571429,104.28571428571429,108.57142857142857,139,128.42857142857142,102.57142857142857,134.85714285714286,118.07142857142857,123.71428571428571,109.71428571428571,118.28571428571429,137.71428571428572,114.28571428571429,115.71428571428571,127,103.28571428571429,126.57142857142857,105.42857142857143,149.42857142857142,134,126.71428571428571,128.57142857142858,110.71428571428571,110.85714285714286,115.85714285714286,115.42857142857143,176.71428571428572,138.42857142857142,109,128.14285714285714,128.28571428571428,143.57142857142858,145.14285714285714,129.85714285714286,142,132.14285714285714,103.57142857142857,113.85714285714286,108.57142857142857,119.14285714285714,105.14285714285714,103.14285714285714,123.28571428571429,138.71428571428572,124.57142857142857,126.14285714285714,120.28571428571429,132.42857142857142,106.14285714285714,119.14285714285714,114.71428571428571,123.28571428571429,160.14285714285714,162.28571428571428,125.28571428571429,133.57142857142858,198.57142857142858,104.85714285714286,134.42857142857142,110.28571428571429,117.71428571428571,112.57142857142857,141.85714285714286,113.14285714285714,108.85714285714286,107.28571428571429,115.42857142857143,105.42857142857143,110.28571428571429,200,141.4213562373095,125.99210498948732,110.40895136738122,102.30474850812553
day 2,145,128.28571428571428,155,111.14285714285714,156.71428571428572,143.14285714285714,140,170.42857142857142,132.85714285714286,137.14285714285714,202.42857142857142,119.28571428571429,192.57142857142858,149.14285714285714,124.28571428571429,139.57142857142858,201.28571428571428,133,139,110.85714285714286,137.28571428571428,146.28571428571428,120.71428571428571,169.14285714285714,NA,163.85714285714286,126.14285714285714,123.42857142857143,135,127.14285714285714,164.85714285714286,139,122.71428571428571,158.14285714285714,326,143,195.57142857142858,295.2857142857143,129.71428571428572,120.28571428571429,151.42857142857142,152.71428571428572,112,109.42857142857143,173.71428571428572,151.28571428571428,192.85714285714286,121,114.28571428571429,193.71428571428572,138.28571428571428,158.42857142857142,119,133.57142857142858,160.42857142857142,116.57142857142857,134.85714285714286,103,138.85714285714286,128.28571428571428,129.71428571428572,160.85714285714286,223.42857142857142,120,153.57142857142858,138,270.85714285714283,130.14285714285714,135.28571428571428,175.42857142857142,130.14285714285714,319.7142857142857,112.71428571428571,119.85714285714286,121.28571428571429,151.14285714285714,126.57142857142857,109,121.85714285714286,176.57142857142858,192.71428571428572,105.14285714285714,163,133.28571428571428,146.14285714285714,123.57142857142857,145,175.28571428571428,133.28571428571428,132.42857142857142,157.28571428571428,109.28571428571429,145.57142857142858,124.71428571428571,200.57142857142858,181,163,164.42857142857142,127.71428571428571,132.71428571428572,168.42857142857142,131.57142857142858,244.28571428571428,179.85714285714286,114.28571428571429,168.14285714285714,151.85714285714286,187.28571428571428,203.28571428571428,176.85714285714286,174.57142857142858,167.42857142857142,107.71428571428571,146.57142857142858,120.42857142857143,146.85714285714286,115.57142857142857,106.57142857142857,140.85714285714286,173.57142857142858,156.85714285714286,158,141,185,109.71428571428571,140.14285714285714,127,171,207.57142857142858,226,154.14285714285714,164.71428571428572,374.2857142857143,108.28571428571429,178.57142857142858,120,153.57142857142858,132.42857142857142,202,130.42857142857142,116.14285714285714,118.28571428571429,131.71428571428572,112.42857142857143,127.71428571428571,400,200.00000000000006,158.74010519681997,121.90136542044752,104.6626156731081
day 3,170.57142857142858,145.57142857142858,187.57142857142858,118.14285714285714,202.28571428571428,167.57142857142858,171.57142857142858,221.14285714285714,161.57142857142858,155,261.2857142857143,150.42857142857142,243.57142857142856,181.85714285714286,136.57142857142858,160.71428571428572,282.57142857142856,154.57142857142858,160,119.71428571428571,170.28571428571428,194.57142857142858,129,227.14285714285714,NA,207.14285714285714,141.14285714285714,134.85714285714286,158.14285714285714,142.85714285714286,210.14285714285714,162.71428571428572,136.28571428571428,208.85714285714286,442,172.71428571428572,260.42857142857144,430.14285714285717,156.71428571428572,129.71428571428572,177,188.57142857142858,119.57142857142857,112.42857142857143,246,191.42857142857142,278.42857142857144,133.42857142857142,124.57142857142857,282.57142857142856,152.85714285714286,195.28571428571428,131.85714285714286,153.42857142857142,189.57142857142858,130,156.85714285714286,105.57142857142857,165.71428571428572,149.85714285714286,152.85714285714286,203.71428571428572,357,137.28571428571428,227,163,394.85714285714283,145.42857142857142,156.71428571428572,214.14285714285714,144.14285714285714,454.85714285714283,119.71428571428571,131.14285714285714,138.71428571428572,173.71428571428572,140,112.57142857142857,136.85714285714286,220.71428571428572,281.14285714285717,108.57142857142857,191.71428571428572,154,170,135.57142857142858,170,216,154.85714285714286,150.85714285714286,195.57142857142858,115.85714285714286,175.42857142857142,146.28571428571428,267,238,199.28571428571428,202.71428571428572,147.71428571428572,154.42857142857142,245.85714285714286,147,344.14285714285717,219.28571428571428,119.57142857142857,213.85714285714286,175.57142857142858,238.28571428571428,258.85714285714283,232,205.85714285714286,210.85714285714286,110.28571428571429,183.42857142857142,133.14285714285714,180.85714285714286,126,111.85714285714286,159.71428571428572,204.71428571428572,186.28571428571428,206.57142857142858,159.42857142857142,250,115.57142857142857,164.57142857142858,140.85714285714286,237.42857142857142,269.7142857142857,298.42857142857144,189.42857142857142,198.57142857142858,590.1428571428571,112.71428571428571,236,127.85714285714286,199,152.14285714285714,268.57142857142856,149,123.57142857142857,133,147.71428571428572,118.57142857142857,148.71428571428572,800,282.8427124746191,200,134.59001926323558,107.07482574639921
day 4,195,163.14285714285714,227.57142857142858,125.28571428571429,246.28571428571428,193.42857142857142,212.42857142857142,303.42857142857144,191.71428571428572,173.42857142857142,337.42857142857144,187.14285714285714,294.57142857142856,213.71428571428572,149,184.28571428571428,374.2857142857143,176,181,128.14285714285714,230,251.57142857142858,136,299.14285714285717,NA,259.7142857142857,151,146.57142857142858,183,156.85714285714286,261.7142857142857,189.71428571428572,153.28571428571428,262.14285714285717,561.7142857142857,211.71428571428572,333.14285714285717,576.4285714285714,186,138.42857142857142,210.14285714285714,217.71428571428572,127.14285714285714,114.85714285714286,356.42857142857144,231,401.14285714285717,142.57142857142858,136.42857142857142,385.42857142857144,163.14285714285714,237.85714285714286,145.14285714285714,173.28571428571428,238.14285714285714,145.57142857142858,181,107.71428571428571,196.42857142857142,173.42857142857142,185.42857142857142,254.28571428571428,562.7142857142857,152.57142857142858,311.7142857142857,195.14285714285714,547.1428571428571,163,179.71428571428572,256.85714285714283,154.71428571428572,630.5714285714286,127,141.42857142857142,156,197.85714285714286,159.71428571428572,118.28571428571429,150.71428571428572,265.14285714285717,386.7142857142857,111.14285714285714,225.28571428571428,201,197.42857142857142,154,195.85714285714286,260.57142857142856,179,171.14285714285714,239.28571428571428,121.85714285714286,202.71428571428572,167.42857142857142,345.5,296.85714285714283,235.57142857142858,247.28571428571428,165.57142857142858,176.71428571428572,353.2142857142857,162.85714285714286,447.42857142857144,270.2857142857143,123.85714285714286,258,203.57142857142858,300.14285714285717,362.57142857142856,292.14285714285717,240.71428571428572,260.57142857142856,113.42857142857143,224.71428571428572,146.14285714285714,223.85714285714286,138.14285714285714,117,175.57142857142858,232.85714285714286,221.71428571428572,276.85714285714283,176,334.14285714285717,121.85714285714286,188.57142857142858,154.57142857142858,324.42857142857144,350,375,236.42857142857142,230.42857142857142,850.8571428571429,118.28571428571429,303.85714285714283,142.14285714285714,251.57142857142858,172.71428571428572,359.7142857142857,168.85714285714286,129.14285714285714,150,162.42857142857142,125.57142857142857,170.14285714285714,1600,400.0000000000001,251.98420997897463,148.5994289136948,109.54263119536736
day 5,222,180.14285714285714,273.14285714285717,132.71428571428572,304.14285714285717,218.42857142857142,261.7142857142857,411.42857142857144,229.71428571428572,190.42857142857142,434.57142857142856,236.57142857142858,368.85714285714283,246.71428571428572,162.57142857142858,212.42857142857142,498.57142857142856,200.28571428571428,202,137.57142857142858,296.2857142857143,330,143,382.85714285714283,NA,314.42857142857144,160.85714285714286,156.71428571428572,208.42857142857142,173.57142857142858,317.42857142857144,213.85714285714286,169.57142857142858,347.85714285714283,681.8571428571429,254.57142857142858,419.85714285714283,728.1428571428571,212.42857142857142,147,243.14285714285714,245,135,117,506.57142857142856,279.7142857142857,544.8571428571429,152.28571428571428,148.57142857142858,515.4285714285714,172.85714285714286,283.42857142857144,159.57142857142858,191.71428571428572,286.7142857142857,161,203.57142857142858,110.57142857142857,230.71428571428572,205.85714285714286,225.85714285714286,311,882.8571428571429,167.42857142857142,405.42857142857144,241.85714285714286,767,180.71428571428572,200.71428571428572,303.14285714285717,164.28571428571428,868,135.42857142857142,152.28571428571428,178.71428571428572,223.71428571428572,182.14285714285714,124,165.57142857142858,310.42857142857144,500.7142857142857,113.28571428571429,262,265.14285714285717,248.85714285714286,171,215.42857142857142,311.57142857142856,206,190,291.2857142857143,127.85714285714286,235.42857142857142,191,424,366.42857142857144,271.85714285714283,292.7142857142857,182.85714285714286,197.28571428571428,460.57142857142856,180.28571428571428,553,334.42857142857144,128.71428571428572,300.7142857142857,237.85714285714286,373.7142857142857,492.2857142857143,351.42857142857144,283.85714285714283,315,116.57142857142857,283,159,264,151.71428571428572,123.28571428571429,190.28571428571428,261.42857142857144,252,361.57142857142856,192.57142857142858,470.2857142857143,128.28571428571428,218.71428571428572,166.85714285714286,411.42857142857144,454.5,444.14285714285717,305.7142857142857,270.42857142857144,1184.4285714285713,126.71428571428571,382.14285714285717,163.57142857142858,307.14285714285717,196.14285714285714,503.2857142857143,192,135.71428571428572,168.28571428571428,175.28571428571428,132.28571428571428,183,3200,565.6854249492383,317.48021039363994,164.06707120152754,112.06731335360402
day 6,254.71428571428572,197.28571428571428,318.14285714285717,138.71428571428572,370,246,324.57142857142856,538.1428571428571,269.42857142857144,207.28571428571428,555.7142857142857,303.42857142857144,466.85714285714283,279.7142857142857,182.71428571428572,245.57142857142858,696.2857142857143,224,221.42857142857142,147.85714285714286,369.2857142857143,427.57142857142856,165.57142857142858,471.2857142857143,1992.142857142857,368.85714285714283,169,163.28571428571428,234.14285714285714,194.14285714285714,382.85714285714283,239.71428571428572,189.28571428571428,446.7142857142857,790.5714285714286,319.7142857142857,513.7142857142857,900.1428571428571,243.42857142857142,157.28571428571428,276.14285714285717,267.14285714285717,143.57142857142858,118.85714285714286,704.1428571428571,321.85714285714283,691.7142857142857,161.85714285714286,160.85714285714286,660.7142857142857,182,329,172.14285714285714,219,325.2857142857143,180,226.28571428571428,113.57142857142857,270.2857142857143,245.14285714285714,280.14285714285717,374.57142857142856,1280.4285714285713,184.14285714285714,516.4285714285714,299.42857142857144,1025.142857142857,196.14285714285714,220.85714285714286,348,173.57142857142858,1172.7142857142858,145.71428571428572,161.71428571428572,202.14285714285714,253.42857142857142,210.42857142857142,129.71428571428572,182.85714285714286,355,637.7142857142857,115.42857142857143,300.2857142857143,342.85714285714283,300.57142857142856,188.57142857142858,237,371.7142857142857,238.57142857142858,207.85714285714286,350.2857142857143,135.28571428571428,269.57142857142856,216.85714285714286,534.5714285714286,436.7142857142857,344,342.2857142857143,198.14285714285714,218.57142857142858,595.2857142857143,197.57142857142858,658.1428571428571,411.14285714285717,135,348.57142857142856,283.57142857142856,455.42857142857144,651,378.57142857142856,343.57142857142856,388,120.71428571428571,346.42857142857144,171.57142857142858,310,169,129.28571428571428,209.14285714285714,290.2857142857143,288.42857142857144,472.57142857142856,216.85714285714286,688.8571428571429,135.85714285714286,252.28571428571428,181.28571428571428,525.7142857142857,559,505.7142857142857,387.7142857142857,306.14285714285717,1675.4285714285713,141.28571428571428,474.85714285714283,195,378,220.14285714285714,740.5714285714286,220.28571428571428,140.85714285714286,188,188.71428571428572,140.57142857142858,195.57142857142858,6400,800.0000000000003,400.0000000000001,181.14473285278126,114.65018308621757
day 7,282.85714285714283,213.42857142857142,362.42857142857144,145.57142857142858,446,281.2857142857143,403.57142857142856,702.4285714285714,309.14285714285717,216,700.4285714285714,381.7142857142857,583.8571428571429,308.14285714285717,202.14285714285714,281.85714285714283,942.5714285714286,248,240.85714285714286,158.85714285714286,443.42857142857144,534.7142857142857,191.85714285714286,578.2857142857143,2782,427.7142857142857,177.14285714285714,174.85714285714286,258.7142857142857,207.85714285714286,447.2857142857143,265.42857142857144,216.14285714285714,561.8571428571429,886.5714285714286,402.85714285714283,607.4285714285714,1075.5714285714287,274.2857142857143,168.14285714285714,290.57142857142856,288.14285714285717,152,120.57142857142857,995.8571428571429,364.42857142857144,918.8571428571429,174.85714285714286,174.28571428571428,840.8571428571429,190.85714285714286,372.57142857142856,186.14285714285714,250.28571428571428,376.57142857142856,200.57142857142858,249.71428571428572,117.21428571428572,310.2857142857143,290.42857142857144,336.42857142857144,448,1747.2857142857142,204.42857142857142,653,379,1336.5714285714287,211.85714285714286,238,391.2857142857143,181.42857142857142,1560.857142857143,159.85714285714286,170.42857142857142,226.14285714285714,281.42857142857144,239,134.71428571428572,200.85714285714286,401.85714285714283,799.1428571428571,117.28571428571429,327.42857142857144,434.42857142857144,349.42857142857144,204.85714285714286,261.7142857142857,445.14285714285717,277.7142857142857,223.28571428571428,414.14285714285717,142,302.2857142857143,243.28571428571428,659.2857142857143,508.57142857142856,416.14285714285717,391.57142857142856,215.14285714285714,244.42857142857142,744.5714285714286,215.42857142857142,767.2857142857143,494.85714285714283,141,398,335.7142857142857,550.1428571428571,844.5714285714286,406.85714285714283,430.7142857142857,479.57142857142856,124.42857142857143,431.57142857142856,184.28571428571428,379.7142857142857,184.28571428571428,136.42857142857142,225.42857142857142,318.14285714285717,327.2857142857143,610.8571428571429,236,982.4285714285714,143.42857142857142,290.57142857142856,195.42857142857142,642.7142857142857,714.8571428571429,568,480.57142857142856,343,2438.1428571428573,157.14285714285714,575,222.57142857142858,478,241.71428571428572,977.8571428571429,264.2857142857143,146.57142857142858,208.28571428571428,203.42857142857142,159.57142857142858,212.14285714285714,12800,1131.3708498984765,503.9684199579494,199.9999999999999,117.29258147046033
day 8,318.42857142857144,228.14285714285714,413,151.57142857142858,514.4285714285714,314.14285714285717,488,902.4285714285714,357.57142857142856,227.85714285714286,877.8571428571429,483,723.2857142857143,322,221.57142857142858,322.2857142857143,1217.7142857142858,270.7142857142857,258.2857142857143,172.71428571428572,509.85714285714283,688.8571428571429,218.14285714285714,711.4285714285714,3852,495,185.28571428571428,184.71428571428572,283,230,512.8571428571429,295.42857142857144,246.14285714285714,685.7142857142857,973.4285714285714,480.7142857142857,721.2857142857143,1263.7142857142858,303.7142857142857,179.71428571428572,298.7142857142857,308.7142857142857,161.28571428571428,122.57142857142857,1357,419,1205.2857142857142,186.57142857142858,186.28571428571428,1076,199.71428571428572,415.7142857142857,200.71428571428572,284.57142857142856,424.7142857142857,224,269.7142857142857,120.85714285714286,353.85714285714283,347.14285714285717,408,528.4285714285714,2370,227.57142857142858,811,474.7142857142857,1713.142857142857,228.71428571428572,253.14285714285714,434.14285714285717,188.57142857142858,2008.5714285714287,174.28571428571428,178,254,310.14285714285717,269.14285714285717,139.57142857142858,215.14285714285714,445.7142857142857,958.8571428571429,118.85714285714286,346.85714285714283,541.7142857142857,394.14285714285717,225.57142857142858,293.57142857142856,530.4285714285714,324.57142857142856,234.85714285714286,475.42857142857144,148.42857142857142,343.57142857142856,277.7142857142857,815.7142857142857,582,484.7142857142857,431,229.71428571428572,269.7142857142857,905.7142857142857,234.14285714285714,874,578.8571428571429,148.14285714285714,455.2857142857143,397.7142857142857,664.4285714285714,1091.5714285714287,428.2857142857143,523,591.4285714285714,128.42857142857142,535.7142857142857,195.71428571428572,453.85714285714283,201.57142857142858,146.14285714285714,243.85714285714286,345.14285714285717,362,746.1428571428571,249.71428571428572,1471.7142857142858,151.85714285714286,341.85714285714283,212.14285714285714,764.8571428571429,981,628.2857142857143,583.7142857142857,381.2857142857143,3399.8571428571427,172.28571428571428,683.8571428571429,260.42857142857144,628.7142857142857,264.2857142857143,1339.7142857142858,314,150.85714285714286,226.71428571428572,215.14285714285714,180,227.14285714285714,25600,1600.0000000000007,634.9604207872799,220.81790273476233,119.99588049204269
day 9,348,245,477.57142857142856,157,588.5714285714286,349.42857142857144,605.2857142857143,1146.857142857143,411.14285714285717,240.71428571428572,1079.857142857143,612,890.7142857142857,329.85714285714283,242,371.14285714285717,1529.4285714285713,293.2857142857143,274.14285714285717,188.14285714285714,580.8571428571429,862.7142857142857,244.42857142857142,868,5119.428571428572,569.4285714285714,191,196.14285714285714,307.85714285714283,254.28571428571428,580.7142857142857,330.42857142857144,279.57142857142856,819.7142857142857,1049.5714285714287,571,848.7142857142857,1425.857142857143,340.85714285714283,190.57142857142858,306.85714285714283,329.57142857142856,170.42857142857142,124.71428571428571,1798.857142857143,479.42857142857144,1558,202.28571428571428,197.57142857142858,1404.642857142857,217.71428571428572,457.57142857142856,219.71428571428572,319.42857142857144,479.57142857142856,253.57142857142858,287.42857142857144,125.42857142857143,396.57142857142856,405.42857142857144,484.14285714285717,611.5714285714286,3117.1428571428573,253.57142857142858,992.7142857142857,596.5714285714286,2170.714285714286,246.57142857142858,265.57142857142856,485.57142857142856,194.85714285714286,2508.8571428571427,190.71428571428572,186.57142857142858,286.85714285714283,342.2857142857143,301.7142857142857,144.42857142857142,238.57142857142858,495.7142857142857,1119,120.28571428571429,365.42857142857144,660.7142857142857,439.14285714285717,245.28571428571428,330.14285714285717,627.1428571428571,380.57142857142856,243.71428571428572,537.2857142857143,154,391.2857142857143,304.14285714285717,1005.5714285714286,653.4285714285714,553.2857142857143,472.7142857142857,244.57142857142858,295.85714285714283,1057.5714285714287,255.85714285714286,998.5714285714286,670.8571428571429,158.14285714285714,505.7142857142857,467.7142857142857,788.1428571428571,1365,448.85714285714283,630.4285714285714,728.2857142857143,132,641.1428571428571,204.85714285714286,530.4285714285714,221,155.5,265.2857142857143,374.42857142857144,396.57142857142856,889.8571428571429,262.14285714285717,1961,159.85714285714286,396,227.71428571428572,884.1428571428571,1241.857142857143,692,694.1428571428571,420.57142857142856,4540,190.42857142857142,808,305.42857142857144,870.9285714285713,285.57142857142856,1699.2857142857142,366,155.14285714285714,241.28571428571428,225.42857142857142,198.57142857142858,242,51200,2262.741699796953,800.0000000000002,243.8027308408949,122.76148375749511
