Source,Target,Weight
Aragorn,Arathorn,9
Aragorn,Arwen,4
Aragorn,Balin,4
Aragorn,Bilbo,10
Arwen,Bilbo,1
Balin,Bilbo,1
Aragorn,Bill,4
Aragorn,Boromir,40
Balin,Boromir,2
Bilbo,Boromir,2
Bill,Boromir,1
Aragorn,Celeborn,3
Boromir,Celeborn,1
Aragorn,Denethor,2
Boromir,Denethor,2
Balin,Durin,2
Aragorn,Dwarves,2
Arathorn,Dwarves,1
Balin,Dwarves,1
Bilbo,Dwarves,1
Celeborn,Dwarves,2
Durin,Dwarves,1
Aragorn,Elendil,10
Arathorn,Elendil,3
Boromir,Elendil,4
Denethor,Elendil,1
Aragorn,Elrond,22
Arathorn,Elrond,1
Arwen,Elrond,3
Bilbo,Elrond,11
Boromir,Elrond,7
Denethor,Elrond,2
Elendil,Elrond,2
Aragorn,Elves,10
Arathorn,Elves,1
Bilbo,Elves,5
Boromir,Elves,1
Celeborn,Elves,4
Denethor,Elves,1
Dwarves,Elves,12
Elendil,Elves,2
Elrond,Elves,12
Aragorn,Frodo,105
Arathorn,Frodo,1
Arwen,Frodo,3
Balin,Frodo,4
Bilbo,Frodo,96
Bill,Frodo,8
Boromir,Frodo,42
Celeborn,Frodo,1
Denethor,Frodo,1
Dwarves,Frodo,3
Elendil,Frodo,4
Elrond,Frodo,27
Elves,Frodo,29
Aragorn,Galadriel,3
Celeborn,Galadriel,8
Elendil,Galadriel,1
Elrond,Galadriel,1
Elves,Galadriel,4
Frodo,Galadriel,7
Aragorn,Gandalf,41
Arathorn,Gandalf,1
Balin,Gandalf,5
Bilbo,Gandalf,44
Bill,Gandalf,3
Boromir,Gandalf,14
Celeborn,Gandalf,2
Denethor,Gandalf,1
Durin,Gandalf,5
Dwarves,Gandalf,9
Elendil,Gandalf,4
Elrond,Gandalf,27
Elves,Gandalf,15
Frodo,Gandalf,129
Galadriel,Gandalf,3
Frodo,Goldberry,5
Bilbo,Gildor,3
Elves,Gildor,5
Frodo,Gildor,13
Gandalf,Gildor,5
Aragorn,Gimli,13
Arathorn,Gimli,1
Balin,Gimli,4
Bilbo,Gimli,1
Bill,Gimli,1
Boromir,Gimli,11
Celeborn,Gimli,2
Durin,Gimli,10
Dwarves,Gimli,9
Elrond,Gimli,2
Elves,Gimli,12
Frodo,Gimli,20
Galadriel,Gimli,3
Gandalf,Gimli,19
Aragorn,Glóin,2
Arathorn,Glóin,1
Balin,Glóin,3
Bilbo,Glóin,4
Boromir,Glóin,1
Durin,Glóin,2
Dwarves,Glóin,5
Elrond,Glóin,6
Elves,Glóin,6
Frodo,Glóin,9
Gandalf,Glóin,4
Gimli,Glóin,8
Aragorn,Glorfindel,10
Elrond,Glorfindel,9
Elves,Glorfindel,3
Frodo,Glorfindel,12
Gandalf,Glorfindel,4
Gimli,Glorfindel,1
Glóin,Glorfindel,2
Aragorn,Gollum,8
Bilbo,Gollum,15
Boromir,Gollum,1
Denethor,Gollum,1
Elrond,Gollum,1
Elves,Gollum,1
Frodo,Gollum,12
Gandalf,Gollum,9
Glóin,Gollum,1
Aragorn,Haldir,3
Arathorn,Haldir,1
Celeborn,Haldir,2
Dwarves,Haldir,2
Elves,Haldir,6
Frodo,Haldir,9
Galadriel,Haldir,2
Gimli,Haldir,4
Aragorn,Hobbits,2
Bilbo,Hobbits,2
Dwarves,Hobbits,3
Elves,Hobbits,4
Frodo,Hobbits,4
Gandalf,Hobbits,4
Gimli,Hobbits,1
Haldir,Hobbits,1
Aragorn,Isildur,7
Arathorn,Isildur,3
Bilbo,Isildur,1
Boromir,Isildur,5
Denethor,Isildur,2
Dwarves,Isildur,1
Elendil,Isildur,10
Elrond,Isildur,3
Elves,Isildur,3
Frodo,Isildur,2
Gandalf,Isildur,3
Gimli,Isildur,1
Glóin,Isildur,1
Gollum,Isildur,3
Aragorn,Legolas,20
Arathorn,Legolas,1
Balin,Legolas,2
Bilbo,Legolas,2
Boromir,Legolas,14
Celeborn,Legolas,1
Dwarves,Legolas,3
Elrond,Legolas,2
Elves,Legolas,15
Frodo,Legolas,21
Galadriel,Legolas,2
Gandalf,Legolas,10
Gimli,Legolas,22
Glóin,Legolas,5
Glorfindel,Legolas,1
Gollum,Legolas,3
Haldir,Legolas,8
Isildur,Legolas,1
Aragorn,Merry,30
Balin,Merry,1
Bilbo,Merry,10
Bill,Merry,1
Boromir,Merry,10
Elrond,Merry,2
Elves,Merry,1
Frodo,Merry,64
Gandalf,Merry,12
Gimli,Merry,7
Glorfindel,Merry,1
Haldir,Merry,1
Hobbits,Merry,1
Legolas,Merry,9
Aragorn,Nine Riders,3
Bilbo,Nine Riders,2
Elves,Nine Riders,2
Frodo,Nine Riders,18
Gandalf,Nine Riders,6
Gildor,Nine Riders,1
Glorfindel,Nine Riders,1
Gollum,Nine Riders,2
Merry,Nine Riders,3
Aragorn,Orcs,5
Bilbo,Orcs,1
Boromir,Orcs,3
Durin,Orcs,1
Dwarves,Orcs,1
Elves,Orcs,3
Frodo,Orcs,6
Gandalf,Orcs,5
Gimli,Orcs,3
Gollum,Orcs,4
Isildur,Orcs,1
Legolas,Orcs,2
Nine Riders,Orcs,1
Sam,Orcs,2
Saruman,Orcs,1
Sauron,Orcs,2
Aragorn,Pippin,22
Balin,Pippin,1
Bilbo,Pippin,9
Bill,Pippin,1
Boromir,Pippin,12
Elrond,Pippin,6
Elves,Pippin,4
Frodo,Pippin,80
Gandalf,Pippin,20
Gildor,Pippin,4
Gimli,Pippin,7
Glorfindel,Pippin,2
Haldir,Pippin,1
Legolas,Pippin,9
Merry,Pippin,57
Nine Riders,Pippin,5
Aragorn,Sam,50
Balin,Sam,1
Bilbo,Sam,21
Bill,Sam,16
Boromir,Sam,15
Celeborn,Sam,1
Elrond,Sam,7
Elves,Sam,27
Frodo,Sam,171
Galadriel,Sam,2
Gandalf,Sam,31
Gildor,Sam,3
Gimli,Sam,12
Glorfindel,Sam,3
Gollum,Sam,2
Haldir,Sam,1
Hobbits,Sam,2
Legolas,Sam,11
Merry,Sam,43
Nine Riders,Sam,4
Pippin,Sam,72
Aragorn,Saruman,2
Bilbo,Saruman,2
Boromir,Saruman,5
Denethor,Saruman,2
Elrond,Saruman,4
Frodo,Saruman,5
Gandalf,Saruman,6
Glorfindel,Saruman,1
Gollum,Saruman,3
Isildur,Saruman,2
Nine Riders,Saruman,1
Aragorn,Sauron,6
Boromir,Sauron,3
Durin,Sauron,1
Dwarves,Sauron,2
Elendil,Sauron,5
Elrond,Sauron,9
Elves,Sauron,13
Frodo,Sauron,7
Galadriel,Sauron,2
Gandalf,Sauron,7
Gimli,Sauron,2
Glóin,Sauron,3
Glorfindel,Sauron,2
Haldir,Sauron,1
Isildur,Sauron,6
Legolas,Sauron,1
Nine Riders,Sauron,1
Sam,Sauron,1
Saruman,Sauron,7
Frodo,Shadowfax,1
Gandalf,Shadowfax,1
Balin,Thorin,1
Bilbo,Thorin,3
Dwarves,Thorin,1
Elves,Thorin,1
Frodo,Thorin,2
Gandalf,Thorin,2
Gimli,Thorin,1
Glóin,Thorin,1
Legolas,Thorin,1
Balin,Thráin,1
Dwarves,Thráin,1
Elves,Thráin,1
Gandalf,Thráin,2
Gimli,Thráin,1
Hobbits,Thráin,1
Thorin,Thráin,1
Aragorn,Bombadil,1
Bilbo,Bombadil,1
Dwarves,Bombadil,1
Elves,Bombadil,3
Frodo,Bombadil,21
Gandalf,Bombadil,2
Goldberry,Bombadil,16
Gildor,Bombadil,1
Glorfindel,Bombadil,1
Merry,Bombadil,5
Nine Riders,Bombadil,1
Pippin,Bombadil,1
Sam,Bombadil,2
Sauron,Bombadil,1
Aragorn,Treebeard,2
Boromir,Treebeard,2
