Label,subtype,FreqSum
Aragorn,men,1069
Arathorn,men,36
Arwen,elves,51
Balin,dwarf,30
Beregond,men,77
Bilbo,hobbit,385
Bill,animal,45
Boromir,men,293
Celeborn,elves,51
Denethor,men,168
Durin,dwarf,54
Dwarves,dwarf,122
Elendil,men,89
Elrond,elves,240
Elves,elves,292
Ents,ents,136
Éomer,men,238
Eorl,men,56
Éowyn,men,115
Faramir,men,313
Frodo,hobbit,2040
Galadriel,elves,95
Gandalf,ainur,1235
Goldberry,ainur,32
Gildor,elves,32
Gimli,dwarf,403
Glóin,dwarf,52
Glorfindel,elves,43
Gollum,hobbit,581
Gorbag,orcs,30
Wormtongue,men,65
Haldir,elves,44
Hobbits,hobbit,127
Isildur,men,103
Legolas,elves,346
Merry,hobbit,595
Nine Riders,men,54
Pippin,hobbit,771
Sam,hobbit,1400
Saruman,ainur,312
Sauron,ainur,339
Shadowfax,animal,78
Shelob,animal,40
Théoden,men,246
Thorin,dwarf,40
Thráin,dwarf,33
Bombadil,ainur,177
Treebeard,ents,221
Orcs,orcs,321
