name,latitude,longitude
Excelsior,37.7244,-122.421
Crocker Amazon,37.7107,-122.4372
Marina,37.8021,-122.4369
Nob Hill,37.793,-122.416
North Beach,37.8045,-122.4076
Pacific Heights,37.7924,-122.4352
Presidio Heights,37.7868,-122.4538
Russian Hill,37.8014,-122.4182
Visitacion Valley,37.7144,-122.4113
Diamond Heights,37.7423,-122.4423
Glen Park,37.7378,-122.4316
Inner Sunset,37.7584,-122.4654
Lakeshore,37.7225,-122.4885
Outer Mission,37.7239,-122.4439
West Of Twin Peaks,37.7373,-122.4589
Bayview,37.73,-122.3855
Bernal Heights,37.7399,-122.4169
Castro,37.7624,-122.4348
Haight,37.7692,-122.4463
Mission,37.7589,-122.4153
Noe,37.7493,-122.433
Parkside,37.7411,-122.4892
Potrero,37.7583,-122.393
South Of Market,37.7764,-122.3994
Twin Peaks,37.752,-122.45
Western Addition,37.7804,-122.4332
Inner Richmond,37.7802,-122.4652
Outer Richmond,37.778,-122.4928
Outer Sunset,37.7553,-122.4938
Seacliff,37.7841,-122.5009
Golden Gate Park,37.7689,-122.4828
Chinatown,37.7941,-122.407
Downtown,37.7835,-122.4158
Financial District,37.7915,-122.3988
Ocean View,37.7178,-122.4622
