from,to,percent
South Of Market,Excelsior,0.000115061394769
Financial District,Excelsior,0.000153416698395
Marina,Marina,0.006697839492217
Nob Hill,Marina,0.002857386572126
North Beach,Marina,0.0025170075265270003
Pacific Heights,Marina,0.0051971368671320005
Presidio Heights,Marina,0.0018409913485280002
Russian Hill,Marina,0.0054030713832430004
Inner Sunset,Marina,0.000421899307668
West Of Twin Peaks,Marina,0.00016780050176800002
Bernal Heights,Marina,0.00018697589552700003
Castro,Marina,0.001524592835397
Haight,Marina,0.0015869151231670002
Mission,Marina,0.0037155825391590003
Noe,Marina,0.000925305329081
Potrero,Marina,0.000925305329081
South Of Market,Marina,0.013304001995902
Western Addition,Marina,0.006098551985901
Inner Richmond,Marina,0.001064311127456
Outer Richmond,Marina,0.000680803252276
Outer Sunset,Marina,0.00011985750126300001
Golden Gate Park,Marina,0.00027327419965800004
Chinatown,Marina,0.0011458268734170001
Downtown,Marina,0.004760880852737
Financial District,Marina,0.012388586942924001
Marina,Nob Hill,0.004195012544212001
Nob Hill,Nob Hill,0.0010307564464320002
North Beach,Nob Hill,0.0011985750126320002
Pacific Heights,Nob Hill,0.002205396087674
Presidio Heights,Nob Hill,0.000685590326554
Russian Hill,Nob Hill,0.0021478608741810003
Inner Sunset,Nob Hill,0.000249302699405
Bernal Heights,Nob Hill,0.00022533119915300003
Castro,Nob Hill,0.0013136454396170001
Haight,Nob Hill,0.000915731180525
Mission,Nob Hill,0.0030060116801360003
Noe,Nob Hill,0.000580094048125
Potrero,Nob Hill,0.000690377400832
South Of Market,Nob Hill,0.008270348231473
Western Addition,Nob Hill,0.003308048970433
Inner Richmond,Nob Hill,0.00044587080792
Outer Richmond,Nob Hill,0.00038833559442800006
Golden Gate Park,Nob Hill,0.00016300439527400001
Chinatown,Nob Hill,0.00044107470142700005
Downtown,Nob Hill,0.00282861896538
Financial District,Nob Hill,0.006769645606388001
Marina,North Beach,0.0023923629509850003
Nob Hill,North Beach,0.0010211822978760002
North Beach,North Beach,0.000867770115588
Pacific Heights,North Beach,0.0014382900151580001
Presidio Heights,North Beach,0.000292449593417
Russian Hill,North Beach,0.0012656843746800001
Inner Sunset,North Beach,0.00015821280488800002
