id,geo_name,county_name,state_name,households,pct_without_internet_subscription,median_income
0500000US01001,"Autauga County, Alabama",Autauga County,Alabama,21115,20.9,58786
0500000US01003,"Baldwin County, Alabama",Baldwin County,Alabama,78622,21.3,55962
0500000US01005,"Barbour County, Alabama",Barbour County,Alabama,9186,38.9,34186
0500000US01007,"Bibb County, Alabama",Bibb County,Alabama,6840,33.8,45340
0500000US01009,"Blount County, Alabama",Blount County,Alabama,20600,30.6,48695
0500000US01011,"Bullock County, Alabama",Bullock County,Alabama,3609,40.1,32152
0500000US01013,"Butler County, Alabama",Butler County,Alabama,6708,37,39109
0500000US01015,"Calhoun County, Alabama",Calhoun County,Alabama,45033,26.6,45197
0500000US01017,"Chambers County, Alabama",Chambers County,Alabama,13516,33,39872
0500000US01019,"Cherokee County, Alabama",Cherokee County,Alabama,10606,31,41014
0500000US01021,"Chilton County, Alabama",Chilton County,Alabama,16751,37.7,45182
0500000US01023,"Choctaw County, Alabama",Choctaw County,Alabama,5350,40.9,34884
0500000US01025,"Clarke County, Alabama",Clarke County,Alabama,9358,46.2,36127
0500000US01027,"Clay County, Alabama",Clay County,Alabama,5236,31.5,41225
0500000US01029,"Cleburne County, Alabama",Cleburne County,Alabama,5726,38.6,40188
0500000US01031,"Coffee County, Alabama",Coffee County,Alabama,19789,21.6,53155
0500000US01033,"Colbert County, Alabama",Colbert County,Alabama,21799,31.1,47558
0500000US01035,"Conecuh County, Alabama",Conecuh County,Alabama,4574,52.2,33177
0500000US01037,"Coosa County, Alabama",Coosa County,Alabama,4103,35.1,38301
0500000US01039,"Covington County, Alabama",Covington County,Alabama,15008,30.6,40601
0500000US01041,"Crenshaw County, Alabama",Crenshaw County,Alabama,5025,40.1,39812
0500000US01043,"Cullman County, Alabama",Cullman County,Alabama,30730,29.2,42558
0500000US01045,"Dale County, Alabama",Dale County,Alabama,18670,26.3,45960
0500000US01047,"Dallas County, Alabama",Dallas County,Alabama,16336,35.9,31602
0500000US01049,"DeKalb County, Alabama",DeKalb County,Alabama,26132,32.4,39233
0500000US01051,"Elmore County, Alabama",Elmore County,Alabama,29143,20.1,59347
0500000US01053,"Escambia County, Alabama",Escambia County,Alabama,13428,42,35000
0500000US01055,"Etowah County, Alabama",Etowah County,Alabama,38777,26.1,44023
0500000US01057,"Fayette County, Alabama",Fayette County,Alabama,6947,30.7,37458
0500000US01059,"Franklin County, Alabama",Franklin County,Alabama,11210,40,40459
0500000US01061,"Geneva County, Alabama",Geneva County,Alabama,10479,32.2,38142
0500000US01063,"Greene County, Alabama",Greene County,Alabama,2955,53.7,21804
0500000US01065,"Hale County, Alabama",Hale County,Alabama,5658,44.8,30571
0500000US01067,"Henry County, Alabama",Henry County,Alabama,6669,26.6,48610
0500000US01069,"Houston County, Alabama",Houston County,Alabama,39253,28.5,45496
0500000US01071,"Jackson County, Alabama",Jackson County,Alabama,20626,32.4,39816
0500000US01073,"Jefferson County, Alabama",Jefferson County,Alabama,260924,23.3,51979
0500000US01075,"Lamar County, Alabama",Lamar County,Alabama,5974,36.1,36756
0500000US01077,"Lauderdale County, Alabama",Lauderdale County,Alabama,38514,30.9,46265
0500000US01079,"Lawrence County, Alabama",Lawrence County,Alabama,12811,39.8,44515
0500000US01081,"Lee County, Alabama",Lee County,Alabama,59373,19.3,48056
0500000US01083,"Limestone County, Alabama",Limestone County,Alabama,32126,22.8,56460
0500000US01085,"Lowndes County, Alabama",Lowndes County,Alabama,4180,50,30833
0500000US01087,"Macon County, Alabama",Macon County,Alabama,7637,43.5,32074
0500000US01089,"Madison County, Alabama",Madison County,Alabama,145256,15.8,63417
0500000US01091,"Marengo County, Alabama",Marengo County,Alabama,7768,45.8,32809
0500000US01093,"Marion County, Alabama",Marion County,Alabama,12212,34.8,35392
0500000US01095,"Marshall County, Alabama",Marshall County,Alabama,34896,25.4,42490
0500000US01097,"Mobile County, Alabama",Mobile County,Alabama,155831,27.1,46166
0500000US01099,"Monroe County, Alabama",Monroe County,Alabama,8149,57,30141
0500000US01101,"Montgomery County, Alabama",Montgomery County,Alabama,89835,22.4,47990
0500000US01103,"Morgan County, Alabama",Morgan County,Alabama,45646,26.5,49751
0500000US01105,"Perry County, Alabama",Perry County,Alabama,3079,52.9,23561
0500000US01107,"Pickens County, Alabama",Pickens County,Alabama,7530,36.7,37458
0500000US01109,"Pike County, Alabama",Pike County,Alabama,11547,39.1,34678
0500000US01111,"Randolph County, Alabama",Randolph County,Alabama,8643,29.1,41449
0500000US01113,"Russell County, Alabama",Russell County,Alabama,22740,33.4,40978
0500000US01115,"St. Clair County, Alabama",St. Clair County,Alabama,32172,23.9,54887
0500000US01117,"Shelby County, Alabama",Shelby County,Alabama,78328,13.4,75761
0500000US01119,"Sumter County, Alabama",Sumter County,Alabama,5047,41.7,23132
0500000US01121,"Talladega County, Alabama",Talladega County,Alabama,31407,29.8,41012
0500000US01123,"Tallapoosa County, Alabama",Tallapoosa County,Alabama,16448,29.8,43361
0500000US01125,"Tuscaloosa County, Alabama",Tuscaloosa County,Alabama,72379,21.8,52221
0500000US01127,"Walker County, Alabama",Walker County,Alabama,25036,31.4,41748
0500000US01129,"Washington County, Alabama",Washington County,Alabama,6007,40.6,40794
0500000US01131,"Wilcox County, Alabama",Wilcox County,Alabama,3804,49.2,27237
0500000US01133,"Winston County, Alabama",Winston County,Alabama,9403,36.7,38504
0500000US02013,"Aleutians East Borough, Alaska",Aleutians East Borough,Alaska,860,32.7,69706
0500000US02016,"Aleutians West Census Area, Alaska",Aleutians West Census Area,Alaska,1176,24,85517
0500000US02020,"Anchorage Municipality, Alaska",Anchorage Municipality,Alaska,106524,11,83280
0500000US02050,"Bethel Census Area, Alaska",Bethel Census Area,Alaska,4558,27.7,54212
0500000US02060,"Bristol Bay Borough, Alaska",Bristol Bay Borough,Alaska,333,16.8,84688
0500000US02068,"Denali Borough, Alaska",Denali Borough,Alaska,639,11.4,84196
0500000US02070,"Dillingham Census Area, Alaska",Dillingham Census Area,Alaska,1420,23.6,58750
0500000US02090,"Fairbanks North Star Borough, Alaska",Fairbanks North Star Borough,Alaska,36513,14.5,77095
0500000US02100,"Haines Borough, Alaska",Haines Borough,Alaska,1026,10.9,64342
0500000US02105,"Hoonah-Angoon Census Area, Alaska",Hoonah-Angoon Census Area,Alaska,799,29.7,63603
0500000US02110,"Juneau City and Borough, Alaska",Juneau City and Borough,Alaska,12521,10.9,88213
0500000US02122,"Kenai Peninsula Borough, Alaska",Kenai Peninsula Borough,Alaska,21741,21.5,66684
0500000US02130,"Ketchikan Gateway Borough, Alaska",Ketchikan Gateway Borough,Alaska,5327,16.2,70356
0500000US02150,"Kodiak Island Borough, Alaska",Kodiak Island Borough,Alaska,4373,17.5,78281
0500000US02158,"Kusilvak Census Area, Alaska",Kusilvak Census Area,Alaska,1692,37.5,35539
0500000US02164,"Lake and Peninsula Borough, Alaska",Lake and Peninsula Borough,Alaska,425,38.6,46406
0500000US02170,"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna Borough,Alaska,30879,13.2,75905
0500000US02180,"Nome Census Area, Alaska",Nome Census Area,Alaska,2875,28,58987
0500000US02185,"North Slope Borough, Alaska",North Slope Borough,Alaska,1966,31.9,75431
0500000US02188,"Northwest Arctic Borough, Alaska",Northwest Arctic Borough,Alaska,1860,29.9,62949
0500000US02195,"Petersburg Borough, Alaska",Petersburg Borough,Alaska,1170,21.7,66907
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",Prince of Wales-Hyder Census Area,Alaska,2356,33.1,54191
0500000US02220,"Sitka City and Borough, Alaska",Sitka City and Borough,Alaska,3561,16.6,71534
0500000US02230,"Skagway Municipality, Alaska",Skagway Municipality,Alaska,400,14.5,72237
0500000US02240,"Southeast Fairbanks Census Area, Alaska",Southeast Fairbanks Census Area,Alaska,2163,27.7,71541
0500000US02261,"Valdez-Cordova Census Area, Alaska",Valdez-Cordova Census Area,Alaska,3093,20.7,82306
0500000US02275,"Wrangell City and Borough, Alaska",Wrangell City and Borough,Alaska,1074,27.9,57583
0500000US02282,"Yakutat City and Borough, Alaska",Yakutat City and Borough,Alaska,232,28.9,65833
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",Yukon-Koyukuk Census Area,Alaska,1906,56,40000
0500000US04001,"Apache County, Arizona",Apache County,Arizona,20395,61,32963
0500000US04003,"Cochise County, Arizona",Cochise County,Arizona,49250,21.2,48649
0500000US04005,"Coconino County, Arizona",Coconino County,Arizona,47276,22.2,57616
0500000US04007,"Gila County, Arizona",Gila County,Arizona,21708,37.9,42092
0500000US04009,"Graham County, Arizona",Graham County,Arizona,10782,27.9,51352
0500000US04011,"Greenlee County, Arizona",Greenlee County,Arizona,3225,23.6,60962
0500000US04012,"La Paz County, Arizona",La Paz County,Arizona,8912,39,33333
0500000US04013,"Maricopa County, Arizona",Maricopa County,Arizona,1520767,15.6,61606
0500000US04015,"Mohave County, Arizona",Mohave County,Arizona,85485,21.1,43266
0500000US04017,"Navajo County, Arizona",Navajo County,Arizona,34407,38.7,40054
0500000US04019,"Pima County, Arizona",Pima County,Arizona,400907,16.4,51037
0500000US04021,"Pinal County, Arizona",Pinal County,Arizona,137286,19.2,55550
0500000US04023,"Santa Cruz County, Arizona",Santa Cruz County,Arizona,15430,30.3,40467
0500000US04025,"Yavapai County, Arizona",Yavapai County,Arizona,96007,19.3,50180
0500000US04027,"Yuma County, Arizona",Yuma County,Arizona,72463,23.3,44058
0500000US05001,"Arkansas County, Arkansas",Arkansas County,Arkansas,7682,36.9,39466
0500000US05003,"Ashley County, Arkansas",Ashley County,Arkansas,7915,39.2,39635
0500000US05005,"Baxter County, Arkansas",Baxter County,Arkansas,18370,27.8,41481
0500000US05007,"Benton County, Arkansas",Benton County,Arkansas,94333,34.8,64141
0500000US05009,"Boone County, Arkansas",Boone County,Arkansas,14870,21.5,43262
0500000US05011,"Bradley County, Arkansas",Bradley County,Arkansas,4537,36.6,39510
0500000US05013,"Calhoun County, Arkansas",Calhoun County,Arkansas,1936,39.6,44022
0500000US05015,"Carroll County, Arkansas",Carroll County,Arkansas,11161,33.1,43505
0500000US05017,"Chicot County, Arkansas",Chicot County,Arkansas,4308,39,33051
0500000US05019,"Clark County, Arkansas",Clark County,Arkansas,8505,32.6,39752
0500000US05021,"Clay County, Arkansas",Clay County,Arkansas,6441,36.1,33935
0500000US05023,"Cleburne County, Arkansas",Cleburne County,Arkansas,10731,28.5,43391
0500000US05025,"Cleveland County, Arkansas",Cleveland County,Arkansas,3292,43.5,42460
0500000US05027,"Columbia County, Arkansas",Columbia County,Arkansas,8962,40.1,36148
0500000US05029,"Conway County, Arkansas",Conway County,Arkansas,8475,38.9,41196
0500000US05031,"Craighead County, Arkansas",Craighead County,Arkansas,40800,21,45868
0500000US05033,"Crawford County, Arkansas",Crawford County,Arkansas,23701,28.6,46619
0500000US05035,"Crittenden County, Arkansas",Crittenden County,Arkansas,18756,28.1,39002
0500000US05037,"Cross County, Arkansas",Cross County,Arkansas,6694,33.7,43838
0500000US05039,"Dallas County, Arkansas",Dallas County,Arkansas,3033,41.5,36628
0500000US05041,"Desha County, Arkansas",Desha County,Arkansas,5111,49.8,30234
0500000US05043,"Drew County, Arkansas",Drew County,Arkansas,7018,32,43014
0500000US05045,"Faulkner County, Arkansas",Faulkner County,Arkansas,44095,23,51930
0500000US05047,"Franklin County, Arkansas",Franklin County,Arkansas,6800,37.1,39463
0500000US05049,"Fulton County, Arkansas",Fulton County,Arkansas,5000,41.7,36184
0500000US05051,"Garland County, Arkansas",Garland County,Arkansas,39894,23.5,43146
0500000US05053,"Grant County, Arkansas",Grant County,Arkansas,6780,26.5,51920
0500000US05055,"Greene County, Arkansas",Greene County,Arkansas,16879,24.8,47497
0500000US05057,"Hempstead County, Arkansas",Hempstead County,Arkansas,7971,32.5,41355
0500000US05059,"Hot Spring County, Arkansas",Hot Spring County,Arkansas,12377,34.5,41262
0500000US05061,"Howard County, Arkansas",Howard County,Arkansas,5096,36,35900
0500000US05063,"Independence County, Arkansas",Independence County,Arkansas,14268,37.3,43523
0500000US05065,"Izard County, Arkansas",Izard County,Arkansas,5049,41.8,40218
0500000US05067,"Jackson County, Arkansas",Jackson County,Arkansas,6095,37.5,33174
0500000US05069,"Jefferson County, Arkansas",Jefferson County,Arkansas,26977,43,38289
0500000US05071,"Johnson County, Arkansas",Johnson County,Arkansas,9800,34.4,37170
0500000US05073,"Lafayette County, Arkansas",Lafayette County,Arkansas,2859,42.7,32412
0500000US05075,"Lawrence County, Arkansas",Lawrence County,Arkansas,6531,36.1,38528
0500000US05077,"Lee County, Arkansas",Lee County,Arkansas,3352,45.7,28367
0500000US05079,"Lincoln County, Arkansas",Lincoln County,Arkansas,3795,41.1,45166
0500000US05081,"Little River County, Arkansas",Little River County,Arkansas,5440,34.9,45388
0500000US05083,"Logan County, Arkansas",Logan County,Arkansas,8464,29.9,39748
0500000US05085,"Lonoke County, Arkansas",Lonoke County,Arkansas,26868,22,57509
0500000US05087,"Madison County, Arkansas",Madison County,Arkansas,6195,37.8,43891
0500000US05089,"Marion County, Arkansas",Marion County,Arkansas,6669,25.7,35518
0500000US05091,"Miller County, Arkansas",Miller County,Arkansas,16748,27.2,41903
0500000US05093,"Mississippi County, Arkansas",Mississippi County,Arkansas,16888,33.3,37237
0500000US05095,"Monroe County, Arkansas",Monroe County,Arkansas,3326,44.2,35190
0500000US05097,"Montgomery County, Arkansas",Montgomery County,Arkansas,3761,40.8,37855
0500000US05099,"Nevada County, Arkansas",Nevada County,Arkansas,3303,44.4,37635
0500000US05101,"Newton County, Arkansas",Newton County,Arkansas,2899,40.6,39896
0500000US05103,"Ouachita County, Arkansas",Ouachita County,Arkansas,10055,39.3,34887
0500000US05105,"Perry County, Arkansas",Perry County,Arkansas,3708,33.7,46071
0500000US05107,"Phillips County, Arkansas",Phillips County,Arkansas,7498,38.4,29263
0500000US05109,"Pike County, Arkansas",Pike County,Arkansas,4299,38.3,37406
0500000US05111,"Poinsett County, Arkansas",Poinsett County,Arkansas,9437,29.2,39277
0500000US05113,"Polk County, Arkansas",Polk County,Arkansas,8204,36.4,37035
0500000US05115,"Pope County, Arkansas",Pope County,Arkansas,22628,27.7,41914
0500000US05117,"Prairie County, Arkansas",Prairie County,Arkansas,3826,45.2,41846
0500000US05119,"Pulaski County, Arkansas",Pulaski County,Arkansas,157083,24.2,50093
0500000US05121,"Randolph County, Arkansas",Randolph County,Arkansas,7455,35,36870
0500000US05123,"St. Francis County, Arkansas",St. Francis County,Arkansas,9319,47.8,35356
0500000US05125,"Saline County, Arkansas",Saline County,Arkansas,43604,18.8,62152
0500000US05127,"Scott County, Arkansas",Scott County,Arkansas,3855,43.9,35509
0500000US05129,"Searcy County, Arkansas",Searcy County,Arkansas,3271,39.8,36390
0500000US05131,"Sebastian County, Arkansas",Sebastian County,Arkansas,50670,26.9,43240
0500000US05133,"Sevier County, Arkansas",Sevier County,Arkansas,5854,28.6,46667
0500000US05135,"Sharp County, Arkansas",Sharp County,Arkansas,7354,41.8,33708
0500000US05137,"Stone County, Arkansas",Stone County,Arkansas,4954,51.9,36162
0500000US05139,"Union County, Arkansas",Union County,Arkansas,15904,39.7,44000
0500000US05141,"Van Buren County, Arkansas",Van Buren County,Arkansas,6852,38.2,36897
0500000US05143,"Washington County, Arkansas",Washington County,Arkansas,85891,22.6,49629
0500000US05145,"White County, Arkansas",White County,Arkansas,29263,26.4,43822
0500000US05147,"Woodruff County, Arkansas",Woodruff County,Arkansas,2890,45.3,31023
0500000US05149,"Yell County, Arkansas",Yell County,Arkansas,7491,32.7,42361
0500000US06001,"Alameda County, California",Alameda County,California,572870,12.2,92574
0500000US06003,"Alpine County, California",Alpine County,California,299,15.1,64688
0500000US06005,"Amador County, California",Amador County,California,14090,17.4,61198
