date,year,month,value
1941-01-01,1941,1,11.9
1942-01-01,1942,1,15.2
1943-01-01,1943,1,10.8
1944-01-01,1944,1,17.0
1945-01-01,1945,1,8.1
1946-01-01,1946,1,15.3
1947-01-01,1947,1,18.1
1948-01-01,1948,1,10.0
1949-01-01,1949,1,22.8
1950-01-01,1950,1,23.8
1951-01-01,1951,1,19.6
1952-01-01,1952,1,18.6
1953-01-01,1953,1,22.1
1954-01-01,1954,1,11.7
1955-01-01,1955,1,13.4
1956-01-01,1956,1,18.5
1957-01-01,1957,1,8.8
1958-01-01,1958,1,18.2
1959-01-01,1959,1,14.1
1960-01-01,1960,1,15.8
1961-01-01,1961,1,8.4
1962-01-01,1962,1,14.7
1963-01-01,1963,1,15.1
1964-01-01,1964,1,18.9
1965-01-01,1965,1,12.3
1966-01-01,1966,1,15.0
1967-01-01,1967,1,21.7
1968-01-01,1968,1,8.7
1969-01-01,1969,1,16.2
1970-01-01,1970,1,5.0
1971-01-01,1971,1,9.1
1972-01-01,1972,1,17.2
1973-01-01,1973,1,19.4
1974-01-01,1974,1,18.0
1975-01-01,1975,1,20.1
1976-01-01,1976,1,9.4
1977-01-01,1977,1,9.2
1978-01-01,1978,1,14.0
1979-01-01,1979,1,16.8
1980-01-01,1980,1,18.4
1981-01-01,1981,1,7.1
1982-01-01,1982,1,6.4
1983-01-01,1983,1,18.4
1984-01-01,1984,1,13.4
1985-01-01,1985,1,11.5
1986-01-01,1986,1,16.7
1987-01-01,1987,1,15.5
1988-01-01,1988,1,15.4
1989-01-01,1989,1,20.4
1990-01-01,1990,1,26.2
1991-01-01,1991,1,15.7
1992-01-01,1992,1,16.4
1993-01-01,1993,1,19.6
1994-01-01,1994,1,5.4
1995-01-01,1995,1,24.1
1996-01-01,1996,1,15.1
1997-01-01,1997,1,15.9
1998-01-01,1998,1,21.7
1999-01-01,1999,1,17.0
2000-01-01,2000,1,15.0
2001-01-01,2001,1,17.8
2002-01-01,2002,1,25.2
2003-01-01,2003,1,9.5
2004-01-01,2004,1,7.2
2005-01-01,2005,1,13.9
2006-01-01,2006,1,26.0
2007-01-01,2007,1,19.6
2008-01-01,2008,1,21.5
2009-01-01,2009,1,10.9
2010-01-01,2010,1,20.1
2011-01-01,2011,1,15.7
2012-01-01,2012,1,21.4
2013-01-01,2013,1,18.6
2014-01-01,2014,1,14.6
2015-01-01,2015,1,12.2
2016-01-01,2016,1,20.9
2017-01-01,2017,1,24.8
2018-01-01,2018,1,16.5
2019-01-01,2019,1,15.0
1941-02-01,1941,2,17.5
1942-02-01,1942,2,14.0
1943-02-01,1943,2,17.2
1944-02-01,1944,2,14.8
1945-02-01,1945,2,18.3
1946-02-01,1946,2,13.5
1947-02-01,1947,2,15.1
1948-02-01,1948,2,12.1
1949-02-01,1949,2,22.1
1950-02-01,1950,2,14.7
1951-02-01,1951,2,21.2
1952-02-01,1952,2,20.9
1953-02-01,1953,2,22.8
1954-02-01,1954,2,24.2
1955-02-01,1955,2,18.5
1956-02-01,1956,2,20.4
1957-02-01,1957,2,22.0
1958-02-01,1958,2,11.7
1959-02-01,1959,2,11.3
1960-02-01,1960,2,22.9
1961-02-01,1961,2,18.5
1962-02-01,1962,2,12.9
1963-02-01,1963,2,11.0
1964-02-01,1964,2,16.5
1965-02-01,1965,2,16.1
1966-02-01,1966,2,17.6
1967-02-01,1967,2,11.4
1968-02-01,1968,2,12.2
1969-02-01,1969,2,19.2
1970-02-01,1970,2,17.4
1971-02-01,1971,2,18.8
1972-02-01,1972,2,14.7
1973-02-01,1973,2,15.4
1974-02-01,1974,2,15.1
1975-02-01,1975,2,18.8
1976-02-01,1976,2,22.3
1977-02-01,1977,2,19.1
1978-02-01,1978,2,9.9
1979-02-01,1979,2,7.8
1980-02-01,1980,2,14.8
1981-02-01,1981,2,27.9
1982-02-01,1982,2,17.2
1983-02-01,1983,2,20.7
1984-02-01,1984,2,26.9
1985-02-01,1985,2,20.5
1986-02-01,1986,2,15.2
1987-02-01,1987,2,13.7
1988-02-01,1988,2,18.4
1989-02-01,1989,2,17.1
1990-02-01,1990,2,20.7
1991-02-01,1991,2,23.4
1992-02-01,1992,2,18.5
1993-02-01,1993,2,9.2
1994-02-01,1994,2,12.4
1995-02-01,1995,2,15.7
1996-02-01,1996,2,18.4
1997-02-01,1997,2,23.2
1998-02-01,1998,2,26.1
1999-02-01,1999,2,22.2
2000-02-01,2000,2,20.8
2001-02-01,2001,2,19.5
2002-02-01,2002,2,24.0
2003-02-01,2003,2,14.2
2004-02-01,2004,2,17.5
2005-02-01,2005,2,21.1
2006-02-01,2006,2,21.3
2007-02-01,2007,2,12.8
2008-02-01,2008,2,20.5
2009-02-01,2009,2,20.6
