year,Hydroelectric Conventional,Natural Gas,Nuclear,Other Biomass,Other Gases,Petroleum,Solar Thermal and Photovoltaic,Wind,Wood and Wood Derived Fuels
1990,1365031,65281,3616268,0,0,2543,0,0,114985
1991,1052719,95341,4108314,0,0,5244,0,0,126367
1992,921498,63120,3734594,0,0,2688,0,0,148242
1993,981286,20558,3372148,0,0,5029,0,0,264744
1994,1038653,5806,4315544,0,0,6354,0,0,250673
1995,972657,6593,3858509,0,0,13484,0,0,308819
1996,1231384,97,3798790,0,0,3757,0,0,316091
1997,1067442,93,4266866,0,0,11206,0,0,334931
1998,1194049,827,3357696,0,0,42295,0,0,351430
1999,1195696,18291,4059107,0,0,24978,0,13604,391917
2000,1221090,90790,4548065,0,22417,60880,0,12249,347523
2001,884213,11000,4171120,0,0,31740,0,12133,370408
2002,1114922,3275,3962616,0,0,9406,0,10372,355599
2003,1154038,2029,4444152,0,0,22607,0,10829,394307
2004,1187256,3224,3858020,0,0,17800,0,11364,392714
2005,1210811,2240,4071547,0,0,10179,0,11486,410491
2006,1518665,1875,5106523,0,0,7371,0,10688,439222
2007,646605,1889,4703728,0,0,7811,0,10511,453038
2008,1492904,2655,4895053,0,0,4266,0,10235,415103
2009,1485825,4431,5360608,24190,0,2439,0,11589,393266
2010,1346887,3783,4782473,25081,0,4509,0,13892,443366
2011,1424733,3277,4907355,25448,0,8158,1815,33185,372248
2012,1151321,2539,4989338,25646,0,3420,5064,106897,327561
2013,1285912,3029,4846327,25698,0,5103,17293,236034,465513
2014,1175321,2465,5060582,23489,0,5473,23536,311310,429218
2015,1139498,1493,0,18993,0,3056,48022,325365,445620
2016,1077517,1965,0,15631,0,4017,59031,291182,461864
2017,1280368,1807,0,11882,0,7133,98801,305406,435991
2018,1268189,1797,0,12053,0,3132,106740,373346,413955
2019,1337017,1851,0,66463,0,1029,147287,377478,359640
