org_id,org_name,students,address,grades
PS001,Academy School,353,"860 WESTERN AVENUE, BRATTLEBORO, VT, 05301",elementary
PS002,Addison Central School,79,"121 VT RTE 17 WEST, ADDISON, VT, 05491",elementary
PS007,Albany Community School,95,"351 MAIN ST, ALBANY, VT, 05820","elementary, middle"
PS008,Albert Bridge School (West Windsor),61,"PO BOX 88, BROWNSVILLE, VT, 05037",elementary
PS009,Albert D Lawton School,357,"104 MAPLE STREET, ESSEX JUNCTION, VT, 05452","elementary, middle"
PS010,Alburgh Community Education Center,222,"14 NORTH MAIN STREET, ALBURG, VT, 05440","elementary, middle"
PS011,Arlington Memorial,200,"529 EAST ARLINGTON RD, ARLINGTON, VT, 05250","elementary, middle, high"
PS015,Bakersfield School,146,"BOX 17 ACADEMY DRIVE, BAKERSFIELD, VT, 05441","elementary, middle"
PS017,Barnard Central School,82,"ROUTE 12, BARNARD, VT, 05031",elementary
PS018,Barnet Elementary School,191,"163 KID ROW, BARNET, VT, 05821","elementary, middle"
PS381,Barre City Elementary/Middle School,886,"50 PARKSIDE TERRACE, BARRE, VT, 05641","elementary, middle"
PS020,Barre Town Elementary School,813,"70 WEBSTERVILLE ROAD, BARRE, VT, 05641","elementary, middle"
PS021,Barstow Memorial School,210,"223 CHITTENDEN ROAD, CHITTENDEN, VT, 05737","elementary, middle"
PS022,Barton Graded School,188,"137 CHURCH STREET, BARTON, VT, 05822","elementary, middle"
PS023,Beeman Elementary School,93,"50 NORTH STREET, NEW HAVEN, VT, 05472",elementary
PS024,Bellows Falls Middle School,243,"SCHOOL STREET, BELLOWS FALLS, VT, 05101","elementary, middle"
PS025,Bellows Falls UHSD #27,332,"ROUTE 5 SOUTH, BELLOWS FALLS, VT, 05101",high
PS406,Bellows Free Academy,837,"71 SOUTH MAIN STREET, ST ALBANS, VT, 05478",high
PS027,Bellows Free Academy (Fairfax),532,"75 HUNT STREET, FAIRFAX, VT, 05454",elementary
PS405,Bellows Free Academy High School (Fairfax),437,"75 HUNT STREET, FAIRFAX, VT, 05454","middle, high"
PS029,Bennington Elementary School,325,"128 PARK STREET, BENNINGTON, VT, 05201",elementary
PS031,Benson Village School,65,"32 SCHOOL STREET, BENSON, VT, 05731","elementary, middle"
PS032,Berkshire Elementary School,209,"4850 WATER TOWER ROAD, RICHFORD, VT, 05476","elementary, middle"
PS033,Berlin Elementary School,215,"372 PAINE TURNPIKE NO - BERLIN, BERLIN, VT, 05602",elementary
PS034,Bethel Elementary School,153,"273 PLEASANT ST, BETHEL, VT, 05032",elementary
PS076,Bingham Memorial School,88,"112 SCHOOL ROAD, CORNWALL, VT, 05753",elementary
PS035,Black River High School,129,"43 MAIN STREET, LUDLOW, VT, 05149","middle, high"
PS036,Blue Mountain USD #21,405,"2420 ROUTE 302, WELLS RIVER, VT, 05081","elementary, middle, high"
PS037,Bradford Elementary School,287,"143 FAIRGROUND RD, BRADFORD, VT, 05033",elementary
PS038,Braintree School,103,"66 BENT HILL ROAD, BRAINTREE, VT, 05060",elementary
PS367,Bratt Area Middle School UHSD #6,284,"109 SUNNY ACRES, BRATTLEBORO, VT, 05301",middle
PS040,Brattleboro UHSD #6,794,"131 FAIRGROUND ROAD, BRATTLEBORO, VT, 05301",high
PS041,Brewster Pierce School,140,"120 SCHOOL STREET, HUNTINGTON, VT, 05462",elementary
PS043,Bridport Central School,81,"3442 VT RT 22A, BRIDPORT, VT, 05734",elementary
PS044,Brighton Elementary School,101,"825 RAILROAD ST, ISLAND POND, VT, 05846","elementary, middle"
PS045,Bristol Elementary School,308,"57 MOUNTAIN ST, BRISTOL, VT, 05443",elementary
PS047,Brookfield School,68,"1728 RIDGE RD, BROOKFIELD, VT, 05036",elementary
PS050,Brown River Middle School,412,"20 RIVER ROAD, JERICHO, VT, 05465","elementary, middle"
PS049,Brownington Central School,116,"103 CHASE ROAD, BROWNINGTON, VT, 05860","elementary, middle"
PS051,Burke Town School,232,"3293 BURKE HOLLOW ROAD, WEST BURKE, VT, 05871","elementary, middle"
PS052,Burlington Senior High School,979,"52 INSTITUTE ROAD, BURLINGTON, VT, 05401",high
PS080,C P Smith School,280,"332 ETHAN ALLEN PARKWAY, BURLINGTON, VT, 05401",elementary
PS055,Cabot School,163,"25 COMMON ROAD, CABOT, VT, 05647","elementary, middle, high"
PS056,Calais Elementary School,125,"321 LIGHTENING RIDGE ROAD, PLAINFIELD, VT, 05667",elementary
PS057,Cambridge Elementary School,333,"186 SCHOOL ST, JEFFERSONVILLE, VT, 05464",elementary
PS058,Camels Hump Middle School,324,"173 SCHOOL STREET, RICHMOND, VT, 05477","elementary, middle"
PS059,Canaan Schools,197,"99 SCHOOL STREET, CANAAN, VT, 05903","elementary, middle, high"
PS413,Castleton Elementary School,253,"263 ELEMENTARY SCHOOL ROAD, CASTLETON, VT, 05735",elementary
PS414,Castleton Village School,101,"47 MECHANIC ST, CASTLETON, VT, 05735","elementary, middle"
PS063,Cavendish Town Elementary School,104,"PO BOX 236, PROCTORSVILLE, VT, 05153",elementary
PS064,Chamberlin School,329,"262 WHITE STREET, SO BURLINGTON, VT, 05403",elementary
PS065,Champlain School,675,"800 PINE STREET, BURLINGTON, VT, 05401",elementary
PS066,Champlain Valley Union High School,1291,"369 CVU ROAD, HINESBURG, VT, 05461",high
PS067,Charleston Elementary School,102,"255 CENTER SCHOOL ROAD, WEST CHARLESTON, VT, 05872","elementary, middle"
